
 num     #instances         #bytes  class name
 395:           110           5280  java.util.TreeMap
 396:           132           5280  com.intellij.util.io.IntToIntBtree$BtreeIndexNodeView
 397:           220           5280  com.intellij.openapi.util.Trinity
 398:            73           5256  com.intellij.openapi.roots.impl.libraries.LibraryImpl
 399:           219           5256  com.intellij.openapi.vfs.impl.local.LocalFileSystemImpl$TreeNode
 400:           164           5248  javax.swing.text.html.StyleSheet$SmallConversionSet
 401:            72           5184  java.awt.geom.RoundRectIterator
 402:           162           5184  java.util.ResourceBundle$LoaderReference
 403:           107           5136  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 404:           321           5136  org.jetbrains.plugins.scala.lang.psi.ScalaPsiElementImpl$$anon$1
 405:            80           5120  java.awt.GradientPaintContext
 406:           160           5120  java.awt.geom.Point2D$Double
 407:           106           5088  com.intellij.util.io.PersistentHashMap$6
 408:           313           5008  java.util.Collections$UnmodifiableCollection
 409:            78           4992  sun.reflect.DelegatingClassLoader
 410:            13           4992  javax.swing.JPopupMenu
 411:           156           4992  com.intellij.psi.impl.source.PsiReferenceListImpl
 412:           207           4968  scala.collection.mutable.DefaultEntry
 413:            44           4928  com.intellij.openapi.editor.impl.IterationState
 414:           123           4920  javax.swing.DefaultButtonModel
 415:           204           4896  com.intellij.psi.impl.compiled.ClsTypeParametersListImpl
 416:           153           4896  java.io.ObjectStreamClass$WeakClassKey
 417:            47           4888  java.lang.Thread
 418:           122           4880  java.security.ProtectionDomain
 419:           152           4864  com.intellij.psi.impl.source.tree.java.PsiTypeParameterListImpl
 420:           303           4848  com.intellij.util.containers.HashSet
 421:            43           4816  java.net.SocksSocketImpl
 422:           200           4800  com.intellij.psi.impl.compiled.ClsParameterListImpl
 423:           100           4800  java.awt.event.HierarchyEvent
 424:            12           4800  com.intellij.ui.components.JBScrollPane
 425:           193           4792  [Lcom.intellij.openapi.vfs.impl.FilePointerPartNode;
 426:           159           4752  [Ljava.awt.Component;
 427:            66           4752  com.intellij.featureStatistics.FeatureDescriptor
 428:           148           4736  com.intellij.psi.impl.source.PsiMethodImpl
 429:           148           4736  com.intellij.psi.impl.source.PsiParameterListImpl
 430:            49           4704  com.intellij.openapi.components.impl.stores.StateStorageManagerImpl$1
 431:           117           4680  com.intellij.util.lang.JarLoader
 432:           195           4680  com.intellij.patterns.ObjectPattern$1
 433:           117           4680  com.intellij.util.lang.JarLoader$1
 434:             8           4672  <typeArrayKlassKlass>
 435:            73           4672  com.intellij.openapi.roots.impl.LibraryOrderEntryImpl
 436:           192           4608  com.intellij.psi.impl.compiled.ClsMethodImpl$1
 437:           113           4520  com.intellij.psi.impl.compiled.ClsJavaCodeReferenceElementImpl
 438:           111           4440  com.intellij.psi.impl.compiled.ClsFieldImpl
 439:           138           4416  javax.swing.text.html.CSS$LengthValue
 440:            92           4416  sun.java2d.pipe.AlphaPaintPipe$TileContext
 441:           110           4400  com.intellij.openapi.actionSystem.impl.ActionManagerImpl$1
 442:            78           4368  com.intellij.openapi.ui.ShadowAction
 443:             4           4352  [Lcom.intellij.util.containers._CHMSegment$HashEntry;
 444:            77           4312  org.jetbrains.plugins.scala.lang.psi.impl.base.ScStableCodeReferenceElementImpl
 445:           133           4256  <compiledICHolderKlass>
 446:            88           4224  sun.java2d.loops.MaskBlit
 447:            88           4224  javax.swing.text.html.parser.Element
 448:            48           4224  sun.font.Type1Font
